Category,Deal Name,Amount,Price
Bakery & Bread,Coop brød,270-750 g,14.00 kr.
Bakery & Bread,Det Gode fra Schulstad,500-950 g,10.00 kr.
Bakery & Bread,Kohberg café sandwich,380-400 g,16.00 kr.
Bakery & Bread,Pølsehorn- focaccia med pepperoni eller Taquiutos,240-480 g,22.00 kr.
Bakery & Bread,Pågen gifflar eller vanillas,220-300 g,14.00 kr.
Beverages,1664- Grimbergen eller Jacobsen,75 cl,26.00 kr.
Beverages,1795- Craft Nation- Oranjeboom øl,33-50 cl,8.00 kr.
Beverages,Antico Leone i boks,3 Liter,89.00 kr.
Beverages,Carlsberg eller Tuborg,18-20 x 33 cl,89.00 kr.
Beverages,Coca-Cola- Squash eller Fanta,150 cl,9.00 kr.
Beverages,Exhib´ eller Prosecco,75 cl,49.00 kr.
Beverages,Faustino VII,75 cl,35.00 kr.
Beverages,Leone Zinfandel- Piccini Barrelaia eller Era Grüner Veltliner,75 cl,39.00 kr.
Beverages,Mokai- Shaker eller Smirnoff,27.5 cl,10.00 kr.
Beverages,Protein shake,500 g,15.00 kr.
Beverages,Red Bull,25 cl,10.00 kr.
Beverages,Tullamore Dew Whiskey- Gammel Dansk Bitter- Jägermeister- Licor 43 eller Aperol,50-70 cl,99.00 kr.
Beverages,Willemoes øl,50 cl,14.00 kr.
Dairy & Eggs,Becel flydende,500 ml,12.00 kr.
Dairy & Eggs,Cheasy skyr eller Matilde kakaomælk,180 g/250 ml,5.00 kr.
Dairy & Eggs,Coop piskefløde,500 ml,20.00 kr.
Dairy & Eggs,Klovborg skiveost,240 g,22.00 kr.
Dairy & Eggs,Mammen skæreost,Min. 1350 g,99.00 kr.
Dairy & Eggs,Revet topping,150 g,8.00 kr.
Dairy & Eggs,Riberhus skæreost,Min. 468 g,49.00 kr.
Dairy & Eggs,Yoggi yoghurt,1 kg,10.00 kr.
Fish & Seafood,365 røget eller gravad laks,100-170 g,29.00 kr.
Fish & Seafood,Amanda eller Glyngøre fiskemarked,105-200 g,10.00 kr.
Fish & Seafood,Glyngøre laksefilet,225 g,39.00 kr.
Fish & Seafood,Irma rejer,150 g,25.00 kr.
Fish & Seafood,Sprøde fiskeportioner eller 365 fiskefileter,480-500 g,30.00 kr.
Frozen Foods,Coop is,300-900 ml,29.00 kr.
Frozen Foods,Magnum is,3-pak,24.00 kr.
Frozen Foods,Pizza Snacks,120 g,5.00 kr.
Fruits & Vegetables,Ananas Sweet,Stk,17.60 kr.
Fruits & Vegetables,Brune champignon,250 g,12.00 kr.
Fruits & Vegetables,Coop kartofler,400-1000 g,10.00 kr.
Fruits & Vegetables,Dansk spidskål,Stk,10.00 kr.
Fruits & Vegetables,Danske hindbær fra Hyldetoftegaard,125 g,18.00 kr.
Fruits & Vegetables,Danske majs,Stk,5.60 kr.
Fruits & Vegetables,Irma grønne kernefri druer - Autumn Crisp,750 g,30.00 kr.
Fruits & Vegetables,Royal Gala æbler,8 stk,16.00 kr.
Household Items,365 Minirisk afspændingsmiddel,500 ml,12.00 kr.
Household Items,365 Minirisk opvasketabs,40 stk,30.00 kr.
Household Items,365 Minirisk vatrondeller,Pakke,4.97 kr.
Household Items,365 Minirisk vådservietter,100 stk,8.00 kr.
Household Items,Biotex flydende vaskemiddel,14 vaske,22.00 kr.
Household Items,Dug,Stk,45.00 kr.
Household Items,Elvital shampoo,1 liter,60.00 kr.
Household Items,Fødselsdagspynt Folieballon Ø 45 cm,Stk,20.00 kr.
Household Items,Fødselsdagspynt Krus 250 ml,8 stk,30.00 kr.
Household Items,Fødselsdagspynt Servietter,20 stk,20.00 kr.
Household Items,Fødselsdagspynt Slikpose + stickers,10 stk,20.00 kr.
Household Items,Fødselsdagspynt Tallerken Ø 23 cm,8 stk,30.00 kr.
Household Items,LED-bloklys,3-pak,60.00 kr.
Household Items,Libero Comfort,22-30 stk,49.00 kr.
Household Items,Libresse bind eller trusseindlæg,18-60 stk,29.00 kr.
Household Items,Nice & Soft eller Soft & Strong,492-588 g,10.00 kr.
Household Items,Skrald-let affaldsposer,15-20 stk,5.00 kr.
Household Items,Vel opvaskemiddel,500 ml,10.00 kr.
Household Items,Whiskas menuboks eller tørkost,800-1020 g,40.00 kr.
Household Items,Xtra batterier,10-pak,15.00 kr.
Household Items,Zendium tandpasta,2 x 50 ml,22.00 kr.
Meat & Poultry,Coop hakket okse- og grisekød 8-12%,400 g,35.00 kr.
Meat & Poultry,Coop pålæg,80-120 g,12.00 kr.
Meat & Poultry,Danske Egnsgårde kalve entrecote eller rib eye,200 g,45.00 kr.
Meat & Poultry,Danske Egnsgårde kalvecuvette,500 g,70.00 kr.
Meat & Poultry,Hakket kylling 7-10%,350 g,20.00 kr.
Meat & Poultry,Hakket oksekød 14-18%,400 g,39.00 kr.
Meat & Poultry,Hammel eller Aalbæk spegepølse,60-100 g,15.00 kr.
Meat & Poultry,Koteletter,900 g,69.00 kr.
Meat & Poultry,Kyllingebryst eller inderfilet,1000 g,69.00 kr.
Meat & Poultry,Medister,300 g,10.00 kr.
Meat & Poultry,Røget hamburgerryg,1300 g,89.00 kr.
Meat & Poultry,Tulip bacon i skiver eller i tern,3 x 100 g/2 x 150 g,25.00 kr.
Meat & Poultry,Tulip pølser,275-280 g,12.00 kr.
Organic,365 økologiske kapsler kaffe,10 stk,11.00 kr.
Organic,Änglamark økologiske danske bønner,300 g,12.00 kr.
Organic,Änglamark økologiske danske gulerødder,1 kg,10.00 kr.
Organic,Irma økologiske chokoladeplader,100 g,28.00 kr.
Pantry Items,Beauvais survarer,325-580 g,15.00 kr.
Pantry Items,Coop pastasalat eller sandwich,170-300 g,18.00 kr.
Pantry Items,Coop remoulade eller mayonnaise,400 g,10.00 kr.
Pantry Items,Coop sukker,1000 g,6.00 kr.
Pantry Items,Corny Big,40-50 g,5.00 kr.
Pantry Items,Fazer skolekridt,380 g,40.00 kr.
Pantry Items,Galle & Jessen pålægschokolade,324 g,50.00 kr.
Pantry Items,Haribo slikpose,90-120 g,12.00 kr.
Pantry Items,Hellmann's mayonnaise eller Maille sennep,380-400 g/430 ml,20.00 kr.
Pantry Items,Irma hele kaffebønner,350-400 g,49.00 kr.
Pantry Items,Irma lakridskugler,150 g,45.00 kr.
Pantry Items,Irma saucer,245-260 g,10.00 kr.
Pantry Items,Kartoffelsalat,800 g,25.00 kr.
Pantry Items,K-Salat bearnaise,325 g,10.00 kr.
Pantry Items,Kellogg's morgenmad,205-500 g,22.00 kr.
Pantry Items,Lays eller Bugles chips,125-175 g,12.00 kr.
Pantry Items,Marabou plader eller Toblerone,90-100 g,17.00 kr.
Pantry Items,Polo eller Spunk,23-33 g,5.00 kr.
Pantry Items,Santa Maria asiatisk marked,110-200 g/200-250 ml,14.00 kr.
Pantry Items,YUM YUM nudler,360 g,32.00 kr.
