Category,Deal Name,Amount,Price
Bakery & Bread,Dan Cake fyldte trøffelkugler Klassisk gulerodskage,210-350 g,20.00 kr.
Bakery & Bread,Gåsebryst hindbær medalje eller nøddefryd,1 stk,22.00 kr.
Bakery & Bread,Irma frugttærter,400-450 g,45.00 kr.
Bakery & Bread,Pågen brød,420-900 g,15.00 kr.
Bakery & Bread,Surdejsbaguette,1 stk,20.00 kr.
Beverages Non-alcoholic,Blandet saft eller Zero,70-100 cl,18.00 kr.
Beverages Non-alcoholic,Red Bull eller State,25-40 cl,12.00 kr.
Beverages Non-alcoholic,Økologisk Godmorgen juice eller nektar,850 ml,20.00 kr.
Beverages Alcoholic - Beer,Brooklyn Erdinger Guinness eller Mikkeller,33-50 cl,18.00 kr.
Beverages Alcoholic - Beer,Carlsberg eller Tuborg 30 stk kasse,30 x 33 cl,135.00 kr.
Beverages Alcoholic - Beer,Corona Estrella Leffe Peroni eller Singha,33 cl,12.00 kr.
Beverages Alcoholic - Beer,Heineken eller Royal 18-pak,18 x 33 cl,79.00 kr.
Beverages Alcoholic - Beer,Nørrebro Bryghus Sol To Øl Brokilde eller Implosion,33 cl,10.00 kr.
Beverages Alcoholic - Spirits,Aalborg Taffel Akvavit Absolut Vodka Ballantine's Whisky Beefeater Gin eller,70 cl,99.00 kr.
Beverages Alcoholic - Spirits,Aperol Campari Bitter Bottega Limoncello eller Sarti Rosa,50-70 cl,109.00 kr.
Beverages Alcoholic - Spirits,Cointreau Tanqueray No. Ten Gin The Singleton 12 års Whisky eller London No. 1 Gin,70 cl,199.00 kr.
Beverages Alcoholic - Spirits,Fernet-Branca Bitter Dr. Nielsen Bitter Grand Marnier Rød eller Underberg Box,35-70/12x2 cl,119.00 kr.
Beverages Alcoholic - Spirits,Johnnie Walker Black Label 12 års Havana Club 7 års Rom Arnbitter eller Nordguld Akvavit,70 cl,149.00 kr.
Beverages Alcoholic - Spirits,Koskenkorva Climate Vodka eller Aalborg Rød Grød Shot,70 cl,79.00 kr.
Beverages Alcoholic - Spirits,Pascal Combeau XO Cognac Don Papa Masskara Talisker 10 års eller Dalwhinnie 15 års Single Malt Whisky,70 cl,249.00 kr.
Beverages Alcoholic - Spirits,Tanqueray Gin Tullamore Dew Whiskey eller Jägermeister,70 cl,129.00 kr.
Beverages Alcoholic - Wine,Amarone Pagus Bisano,75 cl,149.00 kr.
Beverages Alcoholic - Wine,Barolo Pezole Riserva,75 cl,149.00 kr.
Beverages Alcoholic - Wine,Boksmarked Frankrig Spanien Australien eller Sydafrika,3 liter,99.00 kr.
Beverages Alcoholic - Wine,Brunello di Montalcino Poggio al Sale,75 cl,119.00 kr.
