Category,Deal Name,Amount,Price,,
Organic,God Morgen shot eller økologisk juice,450-850 ml,42.-,,
Organic,Kærgården økologisk smørbar,200 g,18.-,,
Organic,Løgismose økologisk hakket oksekød 14-18%,300 g,40.-,,
Organic,Løgismose økologisk rygeost,170 g,15.-,,
Organic,Løgismose økologisk skyr,800 g,25.-,,
Organic,ØGO økologiske bønner kikærter eller tomater,244-400 g,10.-,,
Organic,ØGO økologisk dansk hokkaido græskar,Pr. stk.,12.-,,
Organic,ØGO økologiske danske rødbeder,1 kg,10.-,,
Organic,ØGO økologisk fuldkornspasta,500 g,8.37,,
Organic,ØGO økologiske havregryn- Finvalsede eller grovvalsede,1 kg,10.-,,
Organic,ØGO økologiske kartofler,1 kg,16.-,,
Organic,ØGO økologiske kerne-knækbrød med havsalt,190 g,15.37,,
Organic,ØGO økologisk sodavand,1 liter,10.-,,
Organic,ØGO økologiske valnøddekerner,150 g,20.-,,
Organic,Rock&Roots Organic Rødvin eller hvidvin,75 cl,28.-,,
Organic,Urtekram økologisk ekstra jomfru olivenolie,1000 ml,99.-,,
Organic,Valsemøllen økologisk mel,1 kg,15.-,,
Produce,Danske porrer,2 stk,10.-,,
Produce,La Campagna udenlandske specialiteter,50-250 g,10.-,,
Produce,Næmt basissalat,200 g,10.-,,
Produce,Premieur blommeabrikoser,8 stk,25.-,,
Produce,Premieur stenfrie røde druer,750 g,28.-,,
Meat & Poultry,Bistronne kyllingeburger,300 g,10.-,,
Meat & Poultry,Bistronne kyllingemarked,Various,49.-,,
Meat & Poultry,Brunchy bacon i strimler,200 g,20.-,,
Meat & Poultry,Burger BOOST af dansk okse,Various,16.-,,
Meat & Poultry,Dansk hakket kyllingekød 7-10% eller kyllingeinderfilet,1000 G,35.-,,
Meat & Poultry,Dansk hakket kyllingekød 7-10% eller kyllingeinderfilet,500 G,10.-,,
Meat & Poultry,Dansk hakket kyllingekød 7-10% eller kyllingeinderfilet,500 G,19.95,,
Meat & Poultry,Dansk hel kylling,1350 g,45.-,,
Meat & Poultry,Kyllingebrystfilet,750 g,59.-,,
Meat & Poultry,Løgismose hel kylling,Various,25.-,,
Meat & Poultry,Oksekebab,300 g,22.-,,
Meat & Poultry,Velsmag dansk ribbenssteg,500 g,19.95,,
Meat & Poultry,Velsmag entrecotes,600 g,129.-,,
Meat & Poultry,Velsmag hakket oksekød 14-18%,400 g,45.-,,
Meat & Poultry,Velsmag hakket oksekød 7-10%,650 g,75.-,,
Meat & Poultry,Velsmag marineret koteletter eller strimler af gris,250 g,25.-,,
