Category,Deal Name,Amount,Price
Bakery & Bread,Det Gode fra Schulstad,500-950 g,12.-
Bakery & Bread,Irma Danish Butter Cookies,454 g,50.-
Bakery & Bread,Irma julekager,200-240 g,28.-
Bakery & Bread,Irma knækbrød,190-220 g,20.-
Bakery & Bread,McVities Tartlets kiks,100 g,10.-
Bakery & Bread,Wasa Runda knækbrød,150-330 g,18.-
Beverages,1664- Breezer eller Somersby,27-5-33 cl,13.-
Beverages,365 luksus gløgg,75 cl,35.-
Beverages,Aalborg Taffel Akvavit eller Poliakov Vodka,70 cl,79.-
Beverages,Absolut Vodka- Ballantine's Whisky eller Kahlua,70 cl,89.-
Beverages,BKI eller Coop formalet kaffe,350-400 g,42.-
Beverages,Cocio,60 cl,16.-
Beverages,Coca-Cola 24-pak,24 x 33 cl,99.-
Beverages,Coop hele kaffe bønner,1000 g,109.-
Beverages,Coop proteinshake,500 g,15.-
Beverages,Corona- Leffe- Peroni eller Stella Artois,33 cl,12.-
Beverages,Faxe Kondi eller Pepsi Max,150 cl,18.-
Beverages,Frontera,75 cl,35.-
Beverages,Grimbergen eller Jacobsen,75 cl,26.-
Beverages,Harboe sodavand,50 cl,2.-
Beverages,Innocent juice eller Kids smoothie,4 x 150- 1 x 900 ml,25.-
Beverages,Irma formalet eller hele bønner kaffe,400-500 g,59.-
Beverages,Irma gløgg,75 cl,45.-
Beverages,Julegløgg,1 Liter,25.-
Beverages,Pine Hill i boks,3 liter,99.-
Beverages,Sumo Man eller Tesauro R,75 cl,45.-
Beverages,X-RAY,50 cl,5.-
Beverages,Xtra saft,1 liter,7.-
Dairy & Eggs,Cheasy eller Klovborg skæreost,Min. 495 g,45.-
Dairy & Eggs,Cheasy skyr,1 kg,20.-
Dairy & Eggs,Coop skiveost,200-300 g,26.-
Dairy & Eggs,Coop yoghurt,1 kg,15.-
Dairy & Eggs,Karolines Køkken madlavningsfløde eller creme fraiche,250 ml/250 g,12.-
Dairy & Eggs,Karolines Køkken risalamande- dessert eller luftig skyr,125-170 g,8.-
Dairy & Eggs,Philadelphia,200 g,15.-
Fish & Seafood,Elvira tun,306 g,35.-
Fish & Seafood,Irma gammeldags modnede sild,245-500 g,29.-
