Category,Deal Name,Amount,Price
Bakery & Bread,Kohberg Bagerens bedste rugbrød,600 g,15.-
Bakery & Bread,Kohberg brød- Solsikkerugbrød- solskinsboller eller surdej,390-750 g,30.-
Bakery & Bread,Premieur stenovns-bagt baguette,250 g,14.-
Beverages,Amper Energy,25 cl.,2.-
Beverages,Arla Protein food to go drik,500 ml,20.-
Beverages,Breezer- Somersby eller Stella Artois Jacobsen- Leffe eller Grimbergen øl,Pr. stk.,35.-
Beverages,Coca-Cola sodavand,1-5 liter fl.,16.-
Beverages,Faxe Kondi eller Pepsi Max sodavand,24 x 33 cl.,69.-
Beverages,Fredsted chai latte,8 stk.,20.-
Beverages,Gevalia eller Café Noir instant kaffe,240 g,69.-
Beverages,Il Capolavoro Appassimento- Jean Marie Garnier eller Orso D'oro Rødvin- hvidvin eller mousserende,75 cl.,49.-
Beverages,Il Capolavoro Zinfandel Rødvin,75 cl.,49.-
Beverages,Murph sport- Orange eller tropical,330 ml,5.-
Beverages,Nobe eller Vitamin Well,50 cl.,12.-
Beverages,Pepsi sodavand White tea fersken- jordbær- creme eller Pamelo bambus,33 cl.,10.-
Beverages,Red Bull,25 cl.,12.-
Beverages,SPIR plantedrik,1 liter,10.-
Beverages,Sunshine Delight fruit fusion,100 g,18.-
Beverages,Trapiche Oak Cask Malbec eller Frida Kahlo Bag-in-Box,1-5 liter,59.-
Dairy & Eggs,Actimel 8-pak,8 x 100 ml,20.-
Dairy & Eggs,Athena laktosefri feta,150 g,25.-
Dairy & Eggs,Buko smelteost,200 g,10.-
Dairy & Eggs,Egelykke drikkeyoghurt,250 ml,5.-
Dairy & Eggs,Egelykke fraiche 9%,500 g,16.-
Dairy & Eggs,Kærgården original eller let,200 g,15.-
Dairy & Eggs,Kinder mælkesnitte eller Pingui,240-280 g,36.-
Dairy & Eggs,Laktosefri mozzarella,125 g,12.-
Dairy & Eggs,Tjia hytteostsalat,175 g,10.-
Fish & Seafood,Gravad- kold- eller varmrøget laks,100 g,19.-
Fish & Seafood,Premieur røget eller gravad laks,100 g,35.-
Fish & Seafood,Rahbek fiskefileter,400 g,29.-
Fish & Seafood,Skagen fiskefrikadeller eller Glyngøre sild,182-380 g,26.-
Fish & Seafood,Velsmag lakse- eller rødspættefileter,225 g,39.-
Frozen Foods,Magnum is 3-pak,255-300 ml,25.-
Frozen Foods,Protein Lab færdigret- Spaghetti bolognese eller kylling i karry,370 g,35.-
Frozen Foods,Snickers isbar 6-pak,302 ml,29.47 kr.
Fruits & Vegetables,Appelsiner Udenlandske,1-5 kg,18.-
Fruits & Vegetables,Cocktailtomater Udenlandske,500 g,18.-
Fruits & Vegetables,Granatæble Udenlandsk,Pr. stk.,6.-
Fruits & Vegetables,Mango Udenlandsk,Pr. stk.,10.-
Fruits & Vegetables,Premieur nemme kartofler Udenlandske,700 g,16.-
Meat & Poultry,Bistronne kyllingemarked,300-750 g,20.-
Meat & Poultry,Dansk hakket kyllingekød 7-10% eller dansk kyllingeinderfilet,500-800 g,39.-
Meat & Poultry,Danske kyllingeoverlår eller -underlår,300-400 g,15.-
Meat & Poultry,Den Grønne Slagter pålæg eller kalkunbacon,70-100 g,12.-
Meat & Poultry,Egelykke bacon i skiver,2 x 150 g,25.-
Meat & Poultry,Gyros eller Velsmag dansk hakket grisekød 8-12%,Pr. 1/2 kg,27.95 kr.
Meat & Poultry,Iberico secreto af gris,200 g,49.-
Meat & Poultry,Premieur dansk krogmodnet flæskesteg,Pr. 1/2 kg,59.95 kr.
Meat & Poultry,Premieur fritgående and,Pr. stk.,119.-
Meat & Poultry,Steff Houlberg pølser,350-400 g,25.-
Meat & Poultry,Velsmag dansk nakkefilet,Pr. 1/2 kg,24.95 kr.
Meat & Poultry,Velsmag marineret tykstegsbøf eller dansk flæsk i skiver,100-300 g,18.-
Meat & Poultry,Velsmag okseculotte,Pr. 1/2 kg,74.95 kr.
Meat & Poultry,Velsmag røget hamburgerryg eller bacon,500 G,25.-
Organic,Pukka økologiske tebreve,20 breve,30.-
Organic,ØGO økologiske danske skiveskårne champignon,100 g,4.90 kr.
Organic,ØGO økologiske æbleskiver Ca. 18 stk.,504 g,22.-
Organic,ØGO økologiske æg Str. M/L,10 stk.,26.-
Organic,ØGO økologiske mandler,200 g,20.90 kr.
Organic,ØGO økologisk fuldkornspasta,500 g,8.36 kr.
Organic,ØGO økologisk marmelade- Jordbær- hindbær eller solbær,275 g,16.-
Organic,ØGO økologisk passata,690 g,11.78 kr.
Organic,ØGO økologisk risengrød,500 g,22.-
Pantry Items,AMA fedtstof,200-500 g/500 ml,10.-
Pantry Items,Amo hvedemel,2500 g,16.-
Pantry Items,Deglet Nour dadler Udenlandske,160 g,10.-
Pantry Items,Galbusera kiks eller knækbrød,200-300 g,20.-
Pantry Items,Hellmann's mayonnaise,200 g,8.97 kr.
Pantry Items,Kellogg's granola,400 g (Approx.),25.-
Pantry Items,La Campagna udenlandske specialiteter,50-250 g,10.-
Pantry Items,Lay’s eller Bugles chips,160-300 g,15.-
