Category,Deal Name,Amount,Price
Beverages,BKI Extra eller guld,350-400 g,45.-
Beverages,Carlsberg 1883- Carlsberg pilsner- Tuborg julebryg- Carlsberg Nordic 0.0% eller Brewmasters IPA,33 cl.,4.-
Beverages,GB jul- Thisted jule dubbel- Thisted jule bock,50-75 cl,20.-
Beverages,Jacobsen Christmas ale eller Grimbergen Noël,75 cl.,20.-
Beverages,Pepsi Max- Faxe Kondi- Faxe Kondi 0 kcal eller Faxe Kondi appelsin 0 kcal,33 cl.,3.-
Beverages,REMA 1000 Julens gløgg- luksus alkoholfri gløgg eller æblegløgg,700-1000 ml,25.-
Beverages,REMA 1000 luksus hvidvinsgløgg eller rødvinsgløgg med rom- 12.5%,75 cl,39.-
Beverages,gylden ale- Skovlyst ElleBryg alkoholfri eller Refsvindinge ale No 24,50 cl.,12.-
Dairy & Eggs,Karolines Køkken revet mozzarella- mozzarella i tern eller Cheasy revet mozzarella,150-200 g,12.-
Dairy & Eggs,Philadelphia light- original- hvidløg & urter eller plant based naturel,145-200 g,15.-
Dairy & Eggs,REMA 1000 danablu eller dansk brie,150-200 g,15.-
Dairy & Eggs,Riberhus mellemlagret 45+- Med eller uden kommen,468-572 g,45.-
Frozen Foods,Frikadeller- kødboller- karbonader- panderetter eller madtærter Flere varianter,400-500 g,25.-
Frozen Foods,Hele danske kyllingelår eller ovnklare kyllingelår med BBQ,1000-1250 g,35.-
Frozen Foods,REMA 1000 kød & melboller- melboller eller kødboller,800-1000 g,30.-
Frozen Foods,REMA 1000 panerede fisk- sildefileter eller ekstra store grønlandske rejer,200-500 g,25.-
Fruits & Vegetables,Appelsiner Kl. l- uden-landske,2 kg,14.-
Fruits & Vegetables,Bagekartofler Danske,1.5 kg,12.-
Fruits & Vegetables,Blåbær Udenlandske,125 g,12.-
Fruits & Vegetables,Broccoli Udenlandsk,Pr. bundt,5.-
Fruits & Vegetables,Danske porrer,Pr. stk.,5.-
Fruits & Vegetables,Squash Udenlandsk,Pr. stk.,5.-
Meat & Poultry,Dansk kalvespidsbryst- kalvegrydesteg af tykkam eller bov,800-1200 g Pr. stk.,139.-
Meat & Poultry,Dansk kylling,1350 g,49.-
Meat & Poultry,Frilandsgris Flere varianter,250-400 g,30.-
Meat & Poultry,Frilandsgris hotdogpølser- wienerpølser eller frankfurter,375-400 g,25.-
Meat & Poultry,Frilandsgris skinkeculotte med ramsløg & tomat,800-1200 g Pr. stk.,35.-
Meat & Poultry,Hakket dansk oksekød 4-7%- cremet pastaret- gryderet med bacon eller rødvinsgryde med kalvestrimler,350-400 g,45.-
Meat & Poultry,Pålækker pålæg- flere varianter- baconpostej eller salamihapser,50-200 g,12.-
Meat & Poultry,Tulip spareribs- pulled pork- pulled chicken taco eller 5-pak bacon i skiver,500 g,39.-
Organic,Gram Slot økologisk fuldkorns hvede- eller rugmel,1 kg,16.-
Organic,Gram Slot økologisk rødkål,370 g,12.-
Organic,Gram Slot økologiske havrekager,150 g,20.-
Organic,Hatting fuldkorn burger bun eller Kohberg økologisk fuldkornsburger,240-320 g,14.-
Organic,Økologiske æg Str. M/L,10 stk.,30.-
Pantry Items,Amoretta Classic- Desserts- Praliner med Cointreau eller Amaretto,90-106 g,25.-
Pantry Items,Bakkegårdens brunkager- vaniljekranse eller pebernødder,285-400 g,12.-
Pantry Items,Bedste Høst Hasselnødder eller valnødder,250-400 g,24.-
Pantry Items,Easis bar,28-30 g,8.-
Pantry Items,Easis eller Werther's sukkerfri slik,60-75 g,20.-
Pantry Items,Eiskonfekt- Bismarck stokke eller Lindt teddy,40-170 g,20.-
Pantry Items,Evers sukkerfri slik Flere varianter,70 g,12.-
Pantry Items,Gluten hvedemel,2 kg,17.-
Pantry Items,Haribo poser,120 g,10.-
Pantry Items,Karen Volf brunkager- vanilje-kranse eller pebernødder,165-300 g,15.-
Pantry Items,Kims chips eller snacks,140-170 g,12.-
Pantry Items,Kohberg brød,380-1000 g,12.-
Pantry Items,Nemt & Grønt Fransk vinaigrette,35 g,5.-
Pantry Items,Peberkagehus eller store peberkagehjerter,385-410 g,30.-
Pantry Items,REMA 1000 Julens klejner,170 g,12.-
Pantry Items,REMA 1000 danske havregryn Fin- eller grovvalsede,1 kg,8.-
Pantry Items,REMA 1000 juleposer Mini snebolde- brændte mandler- hasselnødder med chokolade- nougat mandler- chokoladerosiner- chokoladekugler eller mandler med karamel,80-140 g,20.-
Pantry Items,REMA 1000 marcipanbrød- marcipanbrød med salt-karamel eller nougat,75 g,15.-
Pantry Items,REMA 1000 nøddebrud- pebermyntetærter- kokostoppe- marcipansnitter- pebermynte- eller karameltoppe,130-175 g,25.-
Pantry Items,REMA 1000 vaniljekranse- pebernødder- jødekager eller finskbrød,170-180 g,10.-
Pantry Items,Ready to go måltidssalater Sprød kålsalat med cajun kylling eller proteinsalat med hønsekød,200-230 g,15.-
Pantry Items,Toms Guldknas,75 g,15.-
Pantry Items,Tørret frugt,100-500 g,20.-
Pantry Items,Vaniljepasta eller REMA 1000 vaniljestænger,50 g/2 stk.,15.-
Pantry Items,Vorgod Bageri store vaniljekranse eller brunkager,120-160 g,15.-
