id,title,servings,ingredients
1,Lasagne,4,Lasagneplader; hakket oksekød; løg; hvidløg; tomatpuré; flåede tomater; ost; mælk; smør; mel
2,Kylling i karry,4,Kyllingebryst; karry; løg; æble; kokosmælk; ris; salt; peber
3,Frikadeller,4,Hakket svinekød; løg; æg; rasp; mælk; salt; peber; smør
4,Boller i karry,4,Hakket kalv og flæsk; løg; æg; rasp; karry; smør; mel; bouillon; ris
5,Spaghetti med kødsovs,4,Spaghetti; hakket oksekød; løg; hvidløg; tomatpuré; flåede tomater; oregano; basilikum
6,Stegt flæsk med persillesovs,4,Stegt flæsk; kartofler; smør; mel; mælk; persille; salt; peber
7,Rugbrødssandwich,2,Rugbrød; leverpostej; agurk; rødbeder; salat
8,Tærte med spinat og feta,4,Tærtedej; spinat; feta; æg; fløde; løg
9,Grøntsagssuppe,4,Gulerødder; porrer; selleri; kartofler; bouillon; fløde; salt; peber
10,Chili con carne,4,Hakket oksekød; løg; hvidløg; kidneybønner; tomater; chili; spidskommen
11,Fiskefrikadeller,4,Fiskefars; løg; æg; mel; mælk; smør
12,Græsk salat,2,Tomater; agurk; rødløg; feta; oliven; oregano; olivenolie
13,Kyllingesalat,2,Kyllingebryst; salat; tomater; agurk; majs; dressing
14,Ratatouille,4,Aubergine; squash; peberfrugt; løg; hvidløg; tomater; olivenolie
15,Pizza Margherita,2,Pizzadej; tomatsauce; mozzarella; basilikum
16,Hakkebøf med bløde løg,4,Hakket oksekød; løg; smør; kartofler; sovs
17,Pastasalat,4,Pasta; tomater; agurk; majs; skinke; dressing
18,Æggekage,4,Æg; mælk; bacon; purløg; tomater
19,Karrysuppe,4,Karry; løg; gulerødder; kokosmælk; bouillon; kylling
20,Fiskefilet med remoulade,2,Fiskefilet; rasp; æg; smør; remoulade; citron
21,Tomatsuppe,4,Tomater; løg; hvidløg; bouillon; fløde; basilikum
22,Kyllingewok,4,Kyllingebryst; grøntsager; soja; nudler; ingefær; hvidløg
23,Grøn karry med kylling,4,Kyllingebryst; grøn karrypasta; kokosmælk; grøntsager; ris
24,Laks i ovn,2,Laksefilet; citron; dild; smør; kartofler
25,Vegetarlasagne,4,Lasagneplader; squash; aubergine; tomater; ost; bechamelsauce
26,Kyllingefrikadeller,4,Hakket kylling; løg; æg; rasp; mælk; smør
27,Pasta med pesto,2,Pasta; pesto; parmesan; pinjekerner
28,Oksekød i fad,4,Hakket oksekød; tomater; løg; fløde; ost; kartofler
29,Kyllingesandwich,2,Kyllingebryst; sandwichbrød; salat; tomat; mayonnaise
30,Grøntsagslasagne,4,Lasagneplader; gulerødder; squash; tomater; ost; bechamelsauce
